

lambda(m), Y
9.32369e-07, -0.0114793
9.31718e-07, -0.0108589
9.31067e-07, -0.0102404
9.30417e-07, -0.00964088
9.29767e-07, -0.00907755
9.29119e-07, -0.00856159
9.28472e-07, -0.00809381
9.27825e-07, -0.00766335
9.2718e-07, -0.00725022
9.26535e-07, -0.006831
9.25892e-07, -0.00638605
9.25249e-07, -0.00590599
9.24607e-07, -0.00539506
9.23966e-07, -0.00487013
9.23326e-07, -0.00435522
9.22686e-07, -0.00387301
9.22048e-07, -0.00343613
9.2141e-07, -0.00304105
9.20774e-07, -0.0026674
9.20138e-07, -0.0022836
9.19503e-07, -0.00185793
9.18869e-07, -0.00137225
9.18236e-07, -0.00083409
9.17604e-07, -0.000282713
9.16972e-07, 0.000213998
9.16342e-07, 0.000572735
9.15712e-07, 0.000715992
9.15084e-07, 0.000596443
9.14456e-07, 0.00021787
9.13829e-07, -0.00035413
9.13202e-07, -0.000996647
9.12577e-07, -0.00155078
9.11953e-07, -0.00185714
9.11329e-07, -0.00179875
9.10706e-07, -0.00134169
9.10084e-07, -0.000563252
9.09463e-07, 0.00034103
9.08843e-07, 0.00107574
9.08224e-07, 0.00128823
9.07605e-07, 0.000628567
9.06987e-07, -0.00118466
9.0637e-07, -0.00430623
9.05754e-07, -0.00872674
9.05139e-07, -0.0142643
9.04525e-07, -0.0205884
9.03911e-07, -0.027272
9.03299e-07, -0.0338612
9.02687e-07, -0.0399495
9.02076e-07, -0.04524
9.01466e-07, -0.0495858
9.00856e-07, -0.0529982
9.00248e-07, -0.0556258
8.9964e-07, -0.057708
8.99033e-07, -0.059516
8.98427e-07, -0.0612936
8.97822e-07, -0.0632114
8.97217e-07, -0.0653429
8.96614e-07, -0.067665
8.96011e-07, -0.0700812
8.95409e-07, -0.0724595
8.94808e-07, -0.0746734
8.94207e-07, -0.0766365
8.93608e-07, -0.0783234
8.93009e-07, -0.0797708
8.92411e-07, -0.0810628
8.91814e-07, -0.0823046
8.91217e-07, -0.0835923
8.90622e-07, -0.0849885
8.90027e-07, -0.0865081
8.89433e-07, -0.088119
8.88839e-07, -0.0897554
8.88247e-07, -0.0913388
8.87655e-07, -0.0928022
8.87065e-07, -0.094108
8.86475e-07, -0.0952575
8.85885e-07, -0.0962885
8.85297e-07, -0.0972622
8.84709e-07, -0.0982456
8.84122e-07, -0.0992918
8.83536e-07, -0.100426
8.82951e-07, -0.101641
8.82366e-07, -0.102901
8.81782e-07, -0.104152
8.81199e-07, -0.10534
8.80617e-07, -0.106428
8.80035e-07, -0.107402
8.79454e-07, -0.108279
8.78874e-07, -0.109095
8.78295e-07, -0.1099
8.77717e-07, -0.110739
8.77139e-07, -0.111641
8.76562e-07, -0.112613
8.75986e-07, -0.113634
8.75411e-07, -0.11467
8.74836e-07, -0.115676
8.74262e-07, -0.116617
8.73689e-07, -0.117473
8.73116e-07, -0.118246
8.72545e-07, -0.11896
8.71974e-07, -0.119649
8.71404e-07, -0.120353
8.70834e-07, -0.1211
8.70266e-07, -0.121904
8.69698e-07, -0.122758
8.6913e-07, -0.123638
8.68564e-07, -0.124511
8.67998e-07, -0.125343
8.67433e-07, -0.126112
8.66869e-07, -0.126812
8.66306e-07, -0.127455
8.65743e-07, -0.128066
8.65181e-07, -0.128676
8.64619e-07, -0.129315
8.64059e-07, -0.129998
8.63499e-07, -0.130728
8.6294e-07, -0.13149
8.62381e-07, -0.132259
8.61824e-07, -0.133005
8.61267e-07, -0.133707
8.6071e-07, -0.134352
8.60155e-07, -0.134945
8.596e-07, -0.135502
8.59046e-07, -0.136047
8.58493e-07, -0.136608
8.5794e-07, -0.137203
8.57388e-07, -0.137838
8.56837e-07, -0.138507
8.56286e-07, -0.139192
8.55736e-07, -0.139869
8.55187e-07, -0.140515
8.54639e-07, -0.141117
8.54091e-07, -0.141672
8.53544e-07, -0.14219
8.52998e-07, -0.14269
8.52452e-07, -0.143193
8.51907e-07, -0.14372
8.51363e-07, -0.144281
8.50819e-07, -0.144875
8.50276e-07, -0.14549
8.49734e-07, -0.146108
8.49193e-07, -0.146707
8.48652e-07, -0.147273
8.48112e-07, -0.147798
8.47573e-07, -0.148287
8.47034e-07, -0.148754
8.46496e-07, -0.149215
8.45959e-07, -0.149691
8.45422e-07, -0.150193
8.44886e-07, -0.150726
8.44351e-07, -0.151282
8.43816e-07, -0.151847
8.43282e-07, -0.152405
8.42749e-07, -0.152939
8.42216e-07, -0.153439
8.41684e-07, -0.153905
8.41153e-07, -0.154347
8.40622e-07, -0.154777
8.40092e-07, -0.155213
8.39563e-07, -0.155668
8.39035e-07, -0.156149
8.38507e-07, -0.156654
8.37979e-07, -0.157173
8.37453e-07, -0.157691
8.36927e-07, -0.158195
8.36402e-07, -0.158673
8.35877e-07, -0.15912
8.35353e-07, -0.159542
8.3483e-07, -0.159948
8.34307e-07, -0.160353
8.33785e-07, -0.16077
8.33264e-07, -0.161208
8.32743e-07, -0.161669
8.32223e-07, -0.162146
8.31704e-07, -0.162629
8.31185e-07, -0.163104
8.30667e-07, -0.16356
8.3015e-07, -0.163991
8.29633e-07, -0.164397
8.29117e-07, -0.164785
8.28601e-07, -0.165167
8.28086e-07, -0.165554
8.27572e-07, -0.165956
8.27058e-07, -0.166378
8.26545e-07, -0.166818
8.26033e-07, -0.167268
8.25521e-07, -0.167716
8.2501e-07, -0.168152
8.245e-07, -0.168567
8.2399e-07, -0.16896
8.23481e-07, -0.169334
8.22972e-07, -0.169698
8.22465e-07, -0.170061
8.21957e-07, -0.170435
8.21451e-07, -0.170825
8.20945e-07, -0.171232
8.20439e-07, -0.171651
8.19934e-07, -0.172073
8.1943e-07, -0.172489
8.18927e-07, -0.17289
8.18424e-07, -0.173272
8.17921e-07, -0.173635
8.1742e-07, -0.173985
8.16919e-07, -0.174331
8.16418e-07, -0.174682
8.15918e-07, -0.175045
8.15419e-07, -0.175422
8.14921e-07, -0.175813
8.14422e-07, -0.176211
8.13925e-07, -0.176608
8.13428e-07, -0.176994
